Functionality,Trigger type,Trigger,What it executes,What it means
Remove Filler Words,Inside cleanFillerWords,cleanFillerWords thunk runs,"fillerWordIds from state (M.R.fillerWordIds); if empty then warning no_filler_words_found and return; else dropContinuousWords(fillerWordIds.reverse().map(id => [id])) — one batch per word end-to-start",Removes each filler word's time range from caption keyframe and voice tracks; then recompact toast NPS takeSnapshot().
Remove Filler Words,Shared removal,dropContinuousWords(batches),"For each batch: get time range from caption track; whole section then deleteSegmentsAndReturn + deleteKeyFrameSegmentByTime + voice section .delete(); partial then split at boundaries delete middle segment; then reCompactTimeline() on all three tracks",Actual segment removal; same thunk as Remove Pause.
Remove Pause,Single-word Remove pause,User clicks Remove pause in word context menu,"Guard tt(); build words to remove (multi-selection or current word); filter ids with l.s (pause predicate); dropContinuousWords([batch]); then editor.caption.operation (firstOperation: Remove caption & video), takeSnapshot()",Removes selected pause word(s) from caption keyframe and voice; one batch.
Remove Pause,Remove all pauses,User clicks Remove all pauses,"Push editor.pause.remove.attempt; if getCleanOperationNoti() then dispatch cleanPauses(); inside: get silenceWords from state (selector filter by duration threshold), if empty show warning else dropContinuousWords(silenceWords.reverse().map(id => [id])); then push editor.pause.remove, toast, NPS, takeSnapshot()",Removes all qualifying silence/pause words; same dropContinuousWords as single-word and as Remove Filler Words.
Remove Pause,Shared removal,dropContinuousWords(batches),Same as Remove Filler Words: per batch delete or split+delete on caption keyframe voice; reCompactTimeline() on all three,Actual segment removal.
Speech Enhancement,Turn on (editor),User confirms in confirm popup or toggles on (after 3+ confirms),"P(true) / callback then turnOnVoiceEnhancement(): set voiceEnhancementProgress, timelineOperationLock (speech enhancement); genVoiceEnhancement(fullClipId, sourceId, timeRanges); on result build audio track from result.audioFile, align with keyframe sections, set voiceEnhancementTrackInstance, persist, success + NPS; in finally clear progress and lock",Generates enhanced audio and attaches voice enhancement track.
Speech Enhancement,Turn off,User disables enhancement,"P(false) — clear voiceEnhancementTrack-related state, set enableVoiceEnhancement: false",Removes enhancement from timeline.
Speech Enhancement,Quick amend (result page),User arrives with voiceEnhancement: true in quick-amend config,turnOnVoiceEnhancement() called automatically (same as turn on),Auto-enables enhancement when entering from result page.
Speech Enhancement,Confirm popup,First few times user turns on,Show dialog; on confirm run turn-on path; on cancel no enhancement,UX gate before first use.
AI Emoji / Keywords / Speakers,AI Emoji: add,User picks emoji for a word (e.g. from picker),"addEmoji(...) — push emoji element into existing section or create new section with one emoji segment; set preference enableEmoji: true",Adds emoji to caption word on emoji track.
AI Emoji / Keywords / Speakers,AI Emoji: change,User replaces emoji in picker,"replaceEmoji(id, newSourceUri) — find emoji by id, update sourceUri",Updates emoji asset for that word.
AI Emoji / Keywords / Speakers,AI Emoji: delete,User removes emoji from word,"deleteEmoji(id) — find section containing emoji, call delete() on element",Removes emoji from track.
AI Emoji / Keywords / Speakers,AI Emoji: sync,Captions change (e.g. word removed),"syncEmojiInOut — keep emoji segments in sync with caption segments; remove orphans",Keeps emoji track aligned with captions.
AI Emoji / Keywords / Speakers,AI Keywords highlighter,User chooses highlight color (Default Highlight 1 etc.) on a word,"Caption track / preference update for word color; editor.caption.operation with corresponding firstOperation",Sets word's highlight color; rendering uses enableHighlight and word color.
AI Emoji / Keywords / Speakers,Keywords toggle,User toggles AI keywords highlighter checkbox,"onUpdateExpectedPref then a({ enableHighlight: e }); no dedicated analytics",Preference only; controls whether highlight colors are used.
AI Emoji / Keywords / Speakers,Speakers: change color,User changes a speaker's color in color picker,"updateSpeaker(speakerId, color) — update preference.speakersColor, dispatch to S.R.speakersColor and preference",Updates speaker color for caption rendering when speaker detection is on.
AI Emoji / Keywords / Speakers,Speakers: change assignment,User applies change speaker (apply to all / switch / single segment),Handlers update caption words' speaker assignment and optionally swap colors; push editor.speaker_color.change_speaker with apply_all switch_speaker,Changes which speaker is assigned to word(s).
